data,chuvas_previstas_mm,chuvas_reais_mm,temperatura_media_C,variacao_climatica,indice_umidade_solo,volume_producao_tons,incidencia_doencas,acesso_agua_potavel,indicador_seguranca_alimentar
2025-01-01,109.8,110.0,34.7,sim,45.9,8.63,0.0,não,45.7
2025-01-02,143.0,178.7,27.2,não,34.4,1000.0,200.0,não,13.8
2025-01-03,120.6,123.1,27.5,sim,77.1,0.5,0.0,não,1.1
2025-01-04,109.0,117.0,29.6,não,29.0,6.4,2.0,sim,75.8
2025-01-06,129.2,102.2,22.1,não,85.4,2.3,3.0,não,98.4
2025-01-07,87.5,62.1,32.3,não,60.7,4.13,0.0,sim,22.0
2025-01-08,178.4,197.8,22.8,não,79.4,7.24,3.0,não,33.9
2025-01-09,192.7,169.2,27.7,sim,85.2,8.24,3.0,sim,52.4
2025-01-10,76.7,115.6,23.4,sim,70.1,11.01,0.0,não,75.5
2025-01-11,158.3,150.0,21.5,não,66.0,8.67,0.0,não,46.4
2025-01-13,113.6,152.1,34.6,não,89.6,4.49,0.0,não,31.3
2025-01-14,185.1,214.7,34.4,sim,46.1,17.62,2.0,sim,50.5
2025-01-15,14.2,106.1,33.6,sim,15.7,1.03,0.0,não,67.4
2025-01-16,17.4,35.5,31.6,sim,33.4,13.57,2.0,não,77.0
2025-01-17,4.0,-13.2,25.0,sim,22.2,8.64,2.0,sim,13.0
2025-01-18,166.5,204.7,21.2,não,43.4,11.39,2.0,não,2.3
2025-01-19,155.6,150.2,26.1,sim,20.5,3.24,3.0,não,51.9
2025-01-20,174.0,190.0,23.5,sim,58.3,4.36,3.0,não,81.0
2025-01-21,195.7,214.6,26.9,não,40.6,16.11,0.0,sim,1.3
2025-01-22,159.8,156.7,20.8,não,81.6,19.38,0.0,sim,67.2
2025-01-24,156.1,174.5,20.2,não,53.8,14.0,3.0,sim,44.9
2025-01-25,23.7,31.2,31.6,sim,32.0,17.59,2.0,não,91.5
2025-01-26,128.0,106.0,22.2,não,57.4,10.78,0.0,não,64.4
2025-01-27,28.7,34.7,21.2,não,81.7,2.16,2.0,sim,0.5
2025-01-29,104.4,90.5,30.1,não,54.2,3.81,2.0,sim,85.9
2025-01-30,82.9,79.9,23.7,sim,31.7,17.62,3.0,sim,83.0
2025-01-31,52.9,44.2,26.3,sim,46.4,2.42,0.0,sim,64.9
2025-02-01,154.8,106.1,5.0,sim,10.0,8.71,4.0,não,67.4
2025-02-02,91.2,104.6,32.9,sim,29.9,19.18,3.0,não,57.8
2025-02-03,113.7,121.8,26.9,não,52.849999999999994,10.9,3.0,não,27.4
2025-02-05,123.5,134.3,22.0,sim,39.8,6.65,2.0,não,67.2
2025-02-08,188.7,176.0,23.9,sim,36.7,0.86,2.0,sim,19.5
2025-02-09,136.4,149.9,26.8,não,83.9,15.13,1.0,sim,74.7
2025-02-12,139.5,147.4,24.3,não,30.3,5.97,5.0,não,42.8
2025-02-13,12.0,-9.9,25.7,sim,45.7,15.89,2.0,não,80.8
2025-02-14,133.4,103.6,22.7,não,18.4,2.51,2.0,sim,35.4
2025-02-15,134.1,106.1,50.0,não,100.0,9.23,2.0,não,21.4
2025-02-16,42.1,45.4,20.9,não,69.2,18.22,2.0,sim,76.7
